n,surface,freq,harmony,final_class,reason
1,өтті,2685,front,vowel,pure-cyrillic-short-high-freq
2,бойы,1673,back,vowel,pure-cyrillic-short-high-freq
3,қыз,1148,back,voiced_consonant,pure-cyrillic-short-high-freq
4,орны,1080,back,vowel,pure-cyrillic-short-high-freq
5,көмек,1053,front,voiceless_consonant,pure-cyrillic-short-high-freq
6,шығады,977,back,vowel,pure-cyrillic-short-high-freq
7,сай,952,back,glide,pure-cyrillic-short-high-freq
8,хабарлайды,882,back,vowel,pure-cyrillic-short-high-freq
9,орай,881,back,glide,pure-cyrillic-short-high-freq
10,орнына,853,back,vowel,pure-cyrillic-short-high-freq
11,салып,849,back,voiceless_consonant,pure-cyrillic-short-high-freq
12,өтіп,816,front,voiceless_consonant,pure-cyrillic-short-high-freq
13,жоспары,783,back,vowel,pure-cyrillic-short-high-freq
14,ислам,755,back,nasal,pure-cyrillic-short-high-freq
15,жетті,712,front,vowel,pure-cyrillic-short-high-freq
16,түсіп,699,front,voiceless_consonant,pure-cyrillic-short-high-freq
17,еске,691,front,vowel,pure-cyrillic-short-high-freq
18,директоры,690,mixed,vowel,pure-cyrillic-short-high-freq
19,оқиға,676,back,vowel,pure-cyrillic-short-high-freq
20,сайлау,640,back,vowel,pure-cyrillic-short-high-freq
21,сирек,599,front,voiceless_consonant,pure-cyrillic-short-high-freq
22,салдарынан,593,back,nasal,pure-cyrillic-short-high-freq
23,бойында,591,back,vowel,pure-cyrillic-short-high-freq
24,жедел,591,front,liquid,pure-cyrillic-short-high-freq
25,округі,584,mixed,vowel,pure-cyrillic-short-high-freq
26,жай,580,back,glide,pure-cyrillic-short-high-freq
27,жақ,564,back,voiceless_consonant,pure-cyrillic-short-high-freq
28,жеткен,564,front,nasal,pure-cyrillic-short-high-freq
29,жөн,561,front,nasal,pure-cyrillic-short-high-freq
30,былай,553,back,glide,pure-cyrillic-short-high-freq
31,хабарлады,541,back,vowel,pure-cyrillic-short-high-freq
32,салмағы,523,back,vowel,pure-cyrillic-short-high-freq
33,хабар,507,back,liquid,pure-cyrillic-short-high-freq
36,абылай,465,back,glide,pure-cyrillic-short-high-freq
37,аппараты,463,back,vowel,pure-cyrillic-short-high-freq
38,экономика,461,back,vowel,pure-cyrillic-short-high-freq
39,музыка,458,back,vowel,pure-cyrillic-short-high-freq
40,конкурс,439,back,voiceless_consonant,pure-cyrillic-short-high-freq
42,ахмет,432,mixed,voiceless_consonant,pure-cyrillic-short-high-freq
43,жоспар,428,back,liquid,pure-cyrillic-short-high-freq
44,орнын,420,back,nasal,pure-cyrillic-short-high-freq
45,бюджет,418,front,voiceless_consonant,pure-cyrillic-short-high-freq
46,америка,414,mixed,vowel,pure-cyrillic-short-high-freq
47,боп,393,back,voiceless_consonant,pure-cyrillic-short-high-freq
48,түсі,390,front,vowel,pure-cyrillic-short-high-freq
49,жайында,385,back,vowel,pure-cyrillic-short-high-freq
50,оңай,384,back,glide,pure-cyrillic-short-high-freq
51,бойына,381,back,vowel,pure-cyrillic-short-high-freq
52,докторы,380,back,vowel,pure-cyrillic-short-high-freq
53,салынды,379,back,vowel,pure-cyrillic-short-high-freq
54,одағы,377,back,vowel,pure-cyrillic-short-high-freq
55,салды,371,back,vowel,pure-cyrillic-short-high-freq
56,себеп,369,front,voiceless_consonant,pure-cyrillic-short-high-freq
57,порно,362,back,vowel,pure-cyrillic-short-high-freq
58,жеңіп,359,front,voiceless_consonant,pure-cyrillic-short-high-freq
60,кср,351,unknown (no vowels),liquid,pure-cyrillic-short-high-freq
61,ескерту,349,front,vowel,pure-cyrillic-short-high-freq
